啊啊啊|a1 a1 a1
福猪宝宝|fu2 zhu1 bao3 bao3
辅助病毒|fu3 zhu4 bing4 du2
付诸东流|fu4 zhu1 dong1 liu2
辅助段|fu3 zhu4 duan4
付诸洪乔|fu4 zhu1 hong2 qiao2
辅助货币|fu3 zhu4 huo4 bi4
辅助集|fu3 zhu4 ji2
辅助技能|fu3 zhu4 ji4 neng2
辅助目标|fu3 zhu4 mu4 biao1
辅助平面|fu3 zhu4 ping2 mian4
辅助任务|fu3 zhu4 ren4 wu4
辅助色板|fu3 zhu4 se4 ban3
付诸实施|fu4 zhu1 shi2 shi1
辅助索引|fu3 zhu4 suo3 yin3
辅助通气|fu3 zhu4 tong1 qi4
辅助细胞|fu3 zhu4 xi4 bao1
辅助性|fu3 zhu4 xing4
辅助循环|fu3 zhu4 xun2 huan2
复转|fu4 zhuan3
斧专精|fu3 zhuan1 jing1
复壮|fu4 zhuang4
服装|fu2 zhuang1
服装师|fu2 zhuang1 shi1
附赘县疣|fu4 zhui4 xian4 you2
附赘悬疣|fu4 zhui4 xuan2 you2
附赘悬肬|fu4 zhui4 xuan2 you2
副酌|fu4 zhuo2
附着|fu4 zhuo2
附着力|fu4 zhuo2 li4
附着位点|fu4 zhuo2 wei4 dian3
附着物|fu4 zhuo2 wu4
附着龈|fu4 zhuo2 yin2
附着增加|fu4 zhuo2 zeng1 jia1
付梓|fu4 zi3
夫子|fu1 zi3
斧子|fu3 zi3
浮子|fu2 zi3
父子|fu4 zi3
附子|fu4 zi3
麸子|fu1 zi3
福字阿胶|fu2 zi4 e1 jiao1
附子理中|fu4 zi3 li3 zhong1
夫子庙|fu1 zi3 miao4
夫子石|fu1 zi3 shi2
夫子自道|fu1 zi3 zi4 dao4
浮踪浪迹|fu2 zong1 lang4 ji4
副总理|fu4 zong3 li3
覆宗灭祀|fu4 zong1 mie4 si4
副总统|fu4 zong3 tong3
服纵行为|fu2 zong4 xing4 wei2
富足|fu4 zu2
腹足类|fu4 zu2 lei4
服罪|fu2 zui4
负罪|fu4 zui4
负罪引慝|fu4 zui4 yin3 te4
辅佐|fu3 zuo3
副作用|fu4 zuo4 yong4
嘎巴|ga1 ba1
钆贝葡胺|ga2 bei4 pu2 an4
噶尔|ga2 er3
噶尔县|ga2 er3 xian4
嘎嘎|ga1 ga1
旮旮旯旯|ga1 ga1 la2 la2
旮旯|ga1 la2
旮旯儿|ga1 la2 er2
咖喱|ga1 li2
噶伦|ga2 lun2
伽马射线|ga1 ma3 she4 xian4
伽楠香|ga1 nan2 xiang1
钆喷酸|ga2 pen1 suan1
嘎然|ga1 ran2
伽师|ga1 shi1
伽师县|jia1 shi1 xian4
钆双胺|ga2 shuang1 an4
噶厦|ga2 xia1
钆酰胺|ga2 xian1 an4
嘎渣儿|ga1 zha1 er2
嘎吱|ga1 zhi1
夹肢窝|ga1 zhi1 wo1
胳肢窝|ga1 zhi1 wo1
嘎子|ga1 zi3
改扮|gai3 ban5
改版|gai3 ban3
丐帮|gai4 bang1
钙铋镁|gai4 bi4 mei3
改变|gai3 bian4
改编|gai3 bian1
赅博|gai1 bo2
盖玻片|gai4 bo1 pian4
盖布|gai4 bu4
改步改玉|gai3 bu4 gai3 yu4
盖菜|gai4 cai4
改操易节|gai3 cao1 yi4 jie2
改产|gai3 chan3
改朝换代|gai3 chao2 huan4 dai4
改朝换姓|gai3 chao2 huan4 xing4
改称|gai3 cheng1
改窜|gai3 cuan4
该当|gai1 dang1
改道|gai3 dao4
盖德|gai4 de2
盖德乡|gai4 de2 xiang1
盖笛欣|gai4 di2 xin1
改点|gai3 dian3
钙电蛋白|gai4 dian4 dan4 bai2
改掉|gai3 diao4
改定|gai3 ding4
改订|gai3 ding4
改动|gai3 dong4
改恶从善|gai3 e4 cong2 shan4
改恶为善|gai3 e4 wei2 shan4
改恶向善|gai3 e4 xiang4 shan4
改恶行善|gai3 e4 xing4 shan4
盖尔|gai4 er3
改而更张|gai3 er2 geng4 zhang1
钙尔奇|gai4 er3 qi2
盖尔青|gai4 er3 qing1
盖饭|gai4 fan4
盖菲|gai4 fei1
盖福润|gai4 fu2 run4
改革|gai3 ge2
改革开放|gai3 ge2 kai1 fang4
改观|gai3 guan1
概观|gai4 guan1
盖棺定论|gai4 guan1 ding4 lun4
盖棺论定|gai4 guan1 lun4 ding4
盖棺事定|gai4 guan1 shi4 ding4
改过|gai3 guo4
改过从善|gai3 guo4 cong2 shan4
改过迁善|gai3 guo4 qian1 shan4
改过自新|gai3 guo4 zi4 xin1
改过作新|gai3 guo4 zuo4 xin1
盖哈位|gai4 ha1 wei4
改行|gai3 hang2
盖衡|gai4 heng2
钙化|gai4 hua4
概化理论|gai4 hua4 li3 lun4
改换|gai3 huan4
改换家门|gai3 huan4 jia1 men2
改换门闾|gai3 huan4 men2 lv2
改换门楣|gai3 huan4 men2 mei2
改换门庭|gai3 huan4 men2 ting2
改换头面|gai3 huan4 tou2 mian4
改悔|gai3 hui3
改嫁|gai3 jia4
钙加锌|gai4 jia1 xin1
改建|gai3 jian4
盖浇饭|gai4 jiao1 fan4
钙介蛋白|gai4 jie4 dan4 bai2
钙拮抗药|gai4 jie2 kang4 yao4
改节易操|gai3 jie2 yi4 cao1
改进|gai3 jin4
改进调频|gai3 jin4 tiao2 pin2
改刊|gai3 kan1
钙克斯|gai4 ke4 si1
改柯易节|gai3 ke1 yi4 jie2
改柯易叶|gai3 ke1 yi4 ye4
改口|gai3 kou3
改口沓舌|gai3 kou3 ta4 she2
概况|gai4 kuang4
概括|gai4 kuo4
赅括|gai1 kuo4
概括大意|gai4 kuo4 da4 yi4
概括说|gai4 kuo4 shuo1
概括性|gai4 kuo4 xing4
概览|gai4 lan3
盖兰|gai4 lan2
芥蓝菜|gai1 lan2 cai4
盖雷|gai4 lei2
钙离子|gai4 li2 zi3
盖帘|gai4 lian2
改良|gai3 liang2
改梁换柱|gai3 liang2 huan4 zhu4
改良派|gai3 liang2 pai4
改良品种|gai3 liang2 pin3 zhong3
改良主义|gai3 liang2 zhu3 yi4
概论|gai4 lun4
盖罗恩|gai4 luo2 en1
盖洛拉斯|gai4 luo4 la1 si1
盖洛仙|gai4 luo4 xian1
概率|gai4 lv4
概率测试|gai4 lv4 ce4 shi4
概率传播|gai4 lv4 chuan2 bo1
概率分布|gai4 lv4 fen1 bu4
概率分析|gai4 lv4 fen1 xi1
概率函数|gai4 lv4 han2 shu4
概率弧|gai4 lv4 hu2
概率加密|gai4 lv4 jia1 mi4
概率校正|gai4 lv4 jiao1 zheng4
概率论|gai4 lv4 lun4
概率逻辑|gai4 lv4 luo2 ji2
概率密度|gai4 lv4 mi4 du4
概率模型|gai4 lv4 mo2 xing2
概率算法|gai4 lv4 suan4 fa3
概率推理|gai4 lv4 tui1 li3
概率系统|gai4 lv4 xi4 tong3
盖曼|gai4 man4
概貌|gai4 mao4
盖帽|gai4 mao4
钙酶|gai4 mei2
钙镁磷肥|gai4 mei3 lin2 fei2
钙镁酶|gai4 mei3 mei2
改名|gai3 ming2
改名换姓|gai3 ming2 huan4 xing4
改名易姓|gai3 ming2 yi4 xing4
概莫能外|gai4 mo4 neng2 wai4
概念|gai4 nian4
概念储存|gai4 nian4 chu3 cun2
概念词典|gai4 nian4 ci2 dian3
概念发现|gai4 nian4 fa1 xian4
概念发展|gai4 nian4 fa1 zhan3
概念分类|gai4 nian4 fen1 lei4
概念分析|gai4 nian4 fen1 xi1
概念化|gai4 nian4 hua4
概念获取|gai4 nian4 huo4 qu3
概念检索|gai4 nian4 jian3 suo3
概念结点|gai4 nian4 jie2 dian3
概念结构|gai4 nian4 jie2 gou4
概念库|gai4 nian4 ku4
概念模式|gai4 nian4 mo2 shi4
概念模型|gai4 nian4 mo2 xing2
概念确认|gai4 nian4 que4 ren4
概念体系|gai4 nian4 ti3 xi4
概念图|gai4 nian4 tu2
概念习得|gai4 nian4 xi2 de2
概念相关|gai4 nian4 xiang1 guan1
概念形成|gai4 nian4 xing2 cheng2
概念学习|gai4 nian4 xue2 xi2
概念依存|gai4 nian4 yi1 cun2
概念依赖|gai4 nian4 yi1 lai4
概念因素|gai4 nian4 yin1 su4
盖柠|gai4 ning2
盖诺|gai4 nuo4
盖诺真|gai4 nuo4 zhen1
改判|gai3 pan4
钙片|gai4 pian4
改频|gai3 pin2
改期|gai3 qi1
该欠|gai1 qian4
盖曲|gai4 qu3
改曲易调|gai3 qu3 yi4 diao4
盖然性|gai4 ran2 xing4
改任|gai3 ren4
改日|gai3 ri4
概日凌云|gai4 ri4 ling2 yun2
改容易貌|gai3 rong2 yi4 mao4
钙乳胆汁|gai4 ru3 dan3 zhi1
盖瑞宁|gai4 rui4 ning2
盖三淳|gai4 san1 chun2
改色|gai3 se4
改善|gai3 shan4
盖世|gai4 shi4
改是成非|gai3 shi4 cheng2 fei1
盖世太保|gai4 shi4 tai4 bao3
盖世无双|gai4 shi4 wu2 shuang1
盖世英雄|gai4 shi4 ying1 xiong2
盖世之才|gai4 shi4 zhi1 cai2
概数|gai4 shu4
概述|gai4 shu4
盖舒泰|gai4 shu1 tai4
盖爽|gai4 shuang3
概说|gai4 shuo1
盖斯|gai4 si1
该死|gai1 si3
盖斯之颅|gai4 si1 zhi1 lu2
钙素母|gai4 su4 mu3
改俗迁风|gai3 su2 qian1 feng1
钙素田|gai4 su4 tian2
概算|gai4 suan4
盖髓|gai4 sui3
改天|gai3 tian1
改天换地|gai3 tian1 huan4 di4
盖天力|gai4 tian1 li4
钙调蛋白|gai4 tiao2 dan4 bai2
盖头|gai4 tou2
改头换面|gai3 tou2 huan4 mian4
盖头换面|gai4 tou2 huan4 mian4
改头换尾|gai3 tou2 huan4 wei3
改土归流|gai3 tu3 gui1 liu2
改途易辙|gai3 tu2 yi4 zhe2
盖碗|gai4 wan3
改往修来|gai3 wang3 xiu1 lai2
改为|gai3 wei2
钙维多|gai4 wei2 duo1
盖胃平|gai4 wei4 ping2
盖胃平片|gai4 wei4 ping2 pian4
改线|gai3 xian4
盖县|gai4 xian4
改弦更张|gai3 xian2 geng4 zhang1
改弦易调|gai3 xian2 yi4 diao4
改弦易张|gai3 xian2 yi4 zhang1
改弦易辙|gai3 xian2 yi4 zhe2
改向|gai3 xiang4
盖销票|gai4 xiao1 piao4
改写|gai3 xie3
盖写|gai4 xie3
改邪归正|gai3 xie2 gui1 zheng4
钙锌铁片|gai4 xin1 tie3 pian4
改型|gai3 xing2
改行从善|gai3 xing4 cong2 shan4
改姓更名|gai3 xing4 geng4 ming2
改行迁善|gai3 xing4 qian1 shan4
改行为善|gai3 xing4 wei2 shan4
改姓易代|gai3 xing4 yi4 dai4
改行自新|gai3 xing4 zi4 xin1
改选|gai3 xuan3
钙血宝|gai4 xue4 bao3
盖亚|gai4 ya4
盖亚之种|gai4 ya4 zhi1 zhong3
改样|gai3 yang4
概要|gai4 yao4
该药|gai1 yao4
概要设计|gai4 yao4 she4 ji4
改业|gai3 ye4
改易|gai3 yi4
盖印|gai4 yin4
改用|gai3 yong4
改玉改步|gai3 yu4 gai3 bu4
改玉改行|gai3 yu4 gai3 xing4
改元|gai3 yuan2
改辕易辙|gai3 yuan2 yi4 zhe2
改造|gai3 zao4
盖造|gai4 zao4
改则|gai3 ze2
改则县|gai3 ze2 xian4
盖章|gai4 zhang1
改张易调|gai3 zhang1 yi4 diao4
该着|gai1 zhao1
改辙|gai3 zhe2
改辙易途|gai3 zhe2 yi4 tu2
改正|gai3 zheng4
改政移风|gai3 zheng4 yi2 feng1
改制|gai3 zhi4
钙质|gai4 zhi4
钙制剂|gai4 zhi4 ji4
改种|gai3 zhong3
盖州|gai4 zhou1
盖州市|gai4 zhou1 shi4
改柱张弦|gai3 zhu4 zhang1 xian2
改装|gai3 zhuang1
改锥|gai3 zhui1
盖兹|gai4 zi1
盖子|gai4 zi3
改组|gai3 zu3
改嘴|gai3 zui3
干碍|gan4 ai4
肝癌|gan1 ai2
干安|gan4 an1
甘氨酸|gan1 an1 suan1
干巴|gan4 ba1
干巴巴|gan4 ba1 ba1
干巴利脆|gan4 ba1 li4 cui4
干巴利落|gan4 ba1 li4 luo4
甘拜下风|gan1 bai4 xia4 feng1
甘败下风|gan1 bai4 xia4 feng1
肝宝胶囊|gan1 bao3 jiao1 nang2
干杯|gan4 bei1
干贝|gan4 bei4
甘贝利|gan1 bei4 li4
赶奔|gan3 ben1
肝必复|gan1 bi4 fu4
干彼美|gan4 bi3 mei3
甘铋镁|gan1 bi4 mei3
甘比新|gan1 bi3 xin1
干瘪|gan4 bie3
干冰|gan4 bing1
肝病|gan1 bing4
肝勃宁|gan1 bo2 ning2
干部|gan4 bu4
肝部|gan1 bu4
干部下放|gan4 bu4 xia4 fang4
干才|gan4 cai2
干菜|gan4 cai4
甘参|gan1 can1
甘参胶囊|gan1 can1 jiao1 nang2
干草|gan4 cao3
甘草|gan1 cao3
甘草次酸|gan1 cao3 ci4 suan1
甘草浸膏|gan1 cao3 jin4 gao1
甘草酸|gan1 cao3 suan1
甘草酸铋|gan1 cao3 suan1 bi4
甘草酸苷|gan1 cao3 suan1 gan1
甘草酸铁|gan1 cao3 suan1 tie3
甘草甜素|gan1 cao3 tian2 su4
甘草锌|gan1 cao3 xin1
甘草锌片|gan1 cao3 xin1 pian4
干槽症|gan4 cao2 zheng4
干柴|gan4 chai2
干柴烈火|gan4 chai2 lie4 huo3
肝畅|gan1 chang4
肝肠|gan1 chang2
赶场|gan3 chang3
肝肠寸断|gan1 chang2 cun4 duan4
肝畅胶囊|gan1 chang4 jiao1 nang2
肝肠循环|gan1 chang2 xun2 huan2
赶超|gan3 chao1
赶潮流|gan3 chao2 liu2
赶车|gan3 che1
干城|gan4 cheng2
杆秤|gan3 cheng4
干城之将|gan4 cheng2 zhi1 jiang1
感触|gan3 chu4
甘处下流|gan1 chu4 xia4 liu2
感触性|gan3 chu4 xing4
甘醇|gan1 chun2
干脆|gan4 cui4
干脆利落|gan4 cui4 li4 luo4
干脆利索|gan4 cui4 li4 suo3
肝达|gan1 da2
肝达胶囊|gan1 da2 jiao1 nang2
肝达康|gan1 da2 kang1
肝达康片|gan1 da2 kang1 pian4
干打垒|gan4 da3 lei3
干打雷|gan4 da3 lei2
肝达片|gan1 da2 pian4
感戴|gan3 dai4
感戴二天|gan3 dai4 er4 tian1
肝胆|gan1 dan3
肝胆楚越|gan1 dan3 chu3 yue4
肝胆过人|gan1 dan3 guo4 ren2
肝胆胡越|gan1 dan3 hu2 yue4
肝胆俱全|gan1 dan3 ju4 quan2
肝胆能|gan1 dan3 neng2
肝胆披沥|gan1 dan3 pi1 li4
肝胆清|gan1 dan3 qing1
肝胆舒康|gan1 dan3 shu1 kang1
肝胆双清|gan1 dan3 shuang1 qing1
肝胆涂地|gan1 dan3 tu2 di4
肝胆相照|gan1 dan3 xiang1 zhao4
肝胆欲碎|gan1 dan3 yu4 sui4
杆单元|gan3 dan1 yuan2
肝胆照人|gan1 dan3 zhao4 ren2
敢当|gan3 dang1
甘当|gan1 dang1
干道|gan4 dao4
感到|gan3 dao4
赶到|gan3 dao4
感德|gan3 de2
甘德|gan1 de2
赶得及|gan3 de2 ji2
肝得乐|gan1 de2 le4
赶得上|gan3 de2 shang4
甘德县|gan1 de2 xian4
感德镇|gan3 de2 zhen4
肝得治|gan1 de2 zhi4
肝得治片|gan1 de2 zhi4 pian4
干等|gan4 deng3
干瞪眼|gan4 deng4 yan3
感迪|gan3 di2
甘帝欣|gan1 di4 xin1
赶点|gan3 dian3
干电池|gan4 dian4 chi2
干掉|gan4 diao4
干爹|gan4 die1
感动|gan3 dong4
肝毒净|gan1 du2 jing4
干端坤倪|gan4 duan1 kun1 ni2
感恩|gan3 en1
感恩戴德|gan3 en1 dai4 de2
感恩怀德|gan3 en1 huai2 de2
感恩节|gan3 en1 jie2
感恩恋德|gan3 en1 lian4 de2
感恩图报|gan3 en1 tu2 bao4
肝儿|gan1 er2
干儿子|gan4 er2 zi3
干饭|gan4 fan4
干肥|gan4 fei2
干粉|gan4 fen3
感奋|gan3 fen4
感愤|gan3 fen4
甘分随时|gan1 fen1 sui2 shi2
甘风|gan1 feng1
甘氟|gan1 fu2
肝复|gan1 fu4
肝福|gan1 fu2
赶赴|gan3 fu4
干复津|gan4 fu4 jin1
肝复康|gan1 fu4 kang1
肝复康丸|gan1 fu4 kang1 wan2
肝复颗粒|gan1 fu4 ke1 li4
肝福颗粒|gan1 fu2 ke1 li4
肝复乐|gan1 fu4 le4
肝复乐片|gan1 fu4 le4 pian4
肝复能|gan1 fu4 neng2
甘复欣|gan1 fu4 xin1
干父之蛊|gan4 fu4 zhi1 gu3
尴尬|gan1 ga4
感杆|gan3 gan3
感杆分体|gan3 gan3 fen1 ti3
干干净净|gan4 gan4 jing4 jing4
干干翼翼|gan4 gan4 yi4 yi4
干戈|gan4 ge1
干戈四起|gan4 ge1 si4 qi3
干戈载戢|gan4 ge1 zai3 ji2
赶工|gan3 gong1
肝功能|gan1 gong1 neng2
干股|gan4 gu3
甘谷|gan1 gu3
甘谷县|gan1 gu3 xian4
甘瓜苦蒂|gan1 gua1 ku3 di4
感官|gan3 guan1
杆关节|gan3 guan1 jie2
感光|gan3 guang1
感光材料|gan3 guang1 cai2 liao4
感光度|gan3 guang1 du4
感光胶|gan3 guang1 jiao1
感光片|gan3 guang1 pian4
感光纸|gan3 guang1 zhi3
坩埚|gan1 guo1
干果|gan4 guo3
甘果|gan1 guo3
甘果含片|gan1 guo3 han2 pian4
赶海|gan3 hai3
甘海胃康|gan1 hai3 wei4 kang1
干旱|gan4 han4
干号|gan4 hao4
干嚎|gan4 hao2
干涸|gan4 he2
甘和|gan1 he2
甘和茶|gan1 he2 cha2
感和气|gan3 he2 qi4
干花|gan4 hua1
感化|gan3 hua4
感怀|gan3 huai2
赶回|gan3 hui2
干活|gan4 huo2
干货|gan4 huo4
肝火|gan1 huo3
赶活|gan3 huo2
干活儿|gan4 huo2 er2
干急|gan4 ji2
感激|gan3 ji1
疳积|gan1 ji1
赶集|gan3 ji2
疳积散|gan1 ji1 san4
感极涕零|gan3 ji2 ti4 ling2
感激涕零|gan3 ji1 ti4 ling2
甘加乐|gan1 jia1 le4
肝加欣|gan1 jia1 xin1
肝加欣片|gan1 jia1 xin1 pian4
肝健|gan1 jian4
肝健胶囊|gan1 jian4 jiao1 nang2
干姜|gan4 jiang1
干将|gan4 jiang1
赣江|gan4 jiang1
干将莫邪|gan4 jiang1 mo4 ye1
赶脚|gan3 jiao3
干酵母|gan4 jiao4 mu3
干酵母片|gan4 jiao4 mu3 pian4
干结|gan4 jie2
干劲|gan4 jin4
赶紧|gan3 jin3
干劲冲天|gan4 jin4 chong1 tian1
干劲儿|gan4 jin4 er2
肝浸膏|gan1 jin4 gao1
肝浸膏片|gan1 jin4 gao1 pian4
感今怀昔|gan3 jin1 huai2 xi1
赶尽杀绝|gan3 jin4 sha1 jue2
干劲十足|gan4 jin4 shi2 zu2
感今思昔|gan3 jin1 si1 xi1
感今惟昔|gan3 jin1 wei2 xi1
干净|gan4 jing4
干警|gan4 jing3
肝净|gan1 jing4
干净利落|gan4 jing4 li4 luo4
干净利索|gan4 jing4 li4 suo3
甘井先竭|gan1 jing3 xian1 jie2
甘井子|gan1 jing3 zi3
甘井子区|gan1 jing3 zi3 qu1
感旧之哀|gan3 jiu4 zhi1 ai1
柑橘|gan1 ju2
甘居|gan1 ju1
赣剧|gan4 ju4
甘桔冰梅|gan1 ju2 bing1 mei2
甘居人后|gan1 ju1 ren2 hou4
甘桔止咳|gan1 ju2 zhi3 ke2
感觉|gan3 jue2
感觉剥夺|gan3 jue2 bo1 duo2
感觉单位|gan3 jue2 dan1 wei4
感觉道|gan3 jue2 dao4
感觉登记|gan3 jue2 deng1 ji4
感觉链|gan3 jue2 lian4
感觉毛|gan3 jue2 mao2
感觉器|gan3 jue2 qi4
感觉器官|gan3 jue2 qi4 guan1
感觉区|gan3 jue2 qu1
感觉圈|gan3 jue2 quan1
感觉上皮|gan3 jue2 shang4 pi2
感觉神经|gan3 jue2 shen2 jing1
感觉适应|gan3 jue2 shi4 ying4
感觉属性|gan3 jue2 shu3 xing4
感觉细胞|gan3 jue2 xi4 bao1
感觉纤毛|gan3 jue2 xian1 mao2
感觉消失|gan3 jue2 xiao5 shi1
感觉阈限|gan3 jue2 yu4 xian4
感觉运动|gan3 jue2 yun4 dong4
感觉知觉|gan3 jue2 zhi1 jue2
感觉中枢|gan3 jue2 zhong1 shu1
感觉柱|gan3 jue2 zhu4
感觉主义|gan3 jue2 zhu3 yi4
杆菌|gan3 jun1
杆菌属|gan3 jun1 shu3
杆菌肽|gan3 jun1 tai4
杆菌肽锌|gan3 jun1 tai4 xin1
感慨|gan3 kai3
感慨激昂|gan3 kai3 ji1 ang2
感慨万端|gan3 kai3 wan4 duan1
感慨万千|gan3 kai3 wan4 qian1
感慨系之|gan3 kai3 xi4 zhi1
感康|gan3 kang1
感抗|gan3 kang4
肝康|gan1 kang1
肝康颗粒|gan1 kang1 ke1 li4
肝康宁|gan1 kang1 ning2
肝康宁片|gan1 kang1 ning2 pian4
赶考|gan3 kao3
干咳|gan4 ke2
干渴|gan4 ke3
甘可|gan1 ke3
感克胶囊|gan3 ke4 jiao1 nang2
甘克宁|gan1 ke4 ning2
感咳双清|gan3 ke2 shuang1 qing1
干枯|gan4 ku1
甘苦|gan1 ku3
甘苦与共|gan1 ku3 yu3 gong4
赶快|gan3 kuai4
感喟|gan3 kui4
感愧|gan3 kui4
橄榄|gan3 lan3
甘蓝|gan1 lan2
橄榄晶|gan3 lan3 jing1
橄榄绿|gan3 lan3 lv4
橄榄球|gan3 lan3 qiu2
橄榄石|gan3 lan3 shi2
橄榄油|gan3 lan3 you2
橄榄枝|gan3 lan3 zhi1
赶浪头|gan3 lang4 tou2
干酪|gan4 lao4
干酪素|gan4 lao4 su4
坩乐|gan1 le4
甘乐|gan1 le4
肝乐|gan1 le4
甘乐康|gan1 le4 kang1
甘乐能|gan1 le4 neng2
肝乐宁|gan1 le4 ning2
甘乐欣|gan1 le4 xin1
肝乐欣|gan1 le4 xin1
干冷|gan4 leng3
苷力康|gan1 li4 kang1
甘利欣|gan1 li4 xin1
干练|gan4 lian4
干连|gan4 lian2
干粮|gan4 liang2
干裂|gan4 lie4
甘冽|gan1 lie4
甘霖|gan1 lin2
甘霖洗剂|gan1 lin2 xi3 ji4
甘磷酰芥|gan1 lin2 xian1 jie4
肝磷酯|gan1 lin2 zhi3
甘岭散|gan1 ling3 san4
肝灵丸|gan1 ling2 wan2
干流|gan4 liu2
干馏|gan4 liu2
肝流浸膏|gan1 liu2 jin4 gao1
肝龙|gan1 long2
肝龙胶囊|gan1 long2 jiao1 nang2
干禄|gan4 lu4
干路|gan4 lu4
甘露|gan lu4
赶路|gan3 lu4
甘露茶|gan1 lu4 cha2
甘露醇|gan1 lu4 chun2
甘鲁尔|gan1 lu3 er3
甘露膏|gan1 lu4 gao1
甘露解热|gan1 lu4 jie3 re4
甘露灵丸|gan1 lu4 ling2 wan2
甘露酥油|gan1 lu4 su1 you2
甘露糖|gan1 lu4 tang2
甘露糖醇|gan1 lu4 tang2 chun2
甘露消毒|gan1 lu4 xiao5 du2
甘露消渴|gan1 lu4 xiao5 ke3
甘洛|gan1 luo4
甘洛县|gan1 luo4 xian4
肝络欣|gan1 luo4 xin1
肝络欣丸|gan1 luo4 xin1 wan2
甘罗溴铵|gan1 luo2 xiu4 an3
干吗|gan4 ma5
干妈|gan4 ma1
肝脉乐|gan1 mai4 le4
赶忙|gan3 mang2
感冒|gan3 mao4
感冒安|gan3 mao4 an1
感冒安片|gan3 mao4 an1 pian4
感冒冲剂|gan3 mao4 chong1 ji4
感冒滴丸|gan3 mao4 di1 wan2
甘冒虎口|gan1 mao4 hu3 kou3
感冒胶囊|gan3 mao4 jiao1 nang2
感冒解表|gan3 mao4 jie3 biao3
感冒解毒|gan3 mao4 jie3 du2
感冒解热|gan3 mao4 jie3 re4
感冒康|gan3 mao4 kang1
感冒颗粒|gan3 mao4 ke1 li4
感冒咳嗽|gan3 mao4 ke2 sou4
感冒灵|gan3 mao4 ling2
感冒灵片|gan3 mao4 ling2 pian4
感冒片|gan3 mao4 pian4
感冒清|gan3 mao4 qing1
感冒清解|gan3 mao4 qing1 jie3
感冒清片|gan3 mao4 qing1 pian4
感冒清热|gan3 mao4 qing1 re4
感冒舒|gan3 mao4 shu1
感冒疏风|gan3 mao4 shu1 feng1
感冒水|gan3 mao4 shui3
感冒停|gan3 mao4 ting2
感冒通片|gan3 mao4 tong1 pian4
感冒退热|gan3 mao4 tui4 re4
感冒退烧|gan3 mao4 tui4 shao1
感冒丸|gan3 mao4 wan2
感冒消炎|gan3 mao4 xiao5 yan2
感冒欣|gan3 mao4 xin1
感冒药|gan3 mao4 yao4
感冒药片|gan3 mao4 yao4 pian4
感冒液|gan3 mao4 ye4
感冒止咳|gan3 mao4 zhi3 ke2
甘美|gan1 mei3
苷酶|gan1 mei2
甘镁颠茄|gan1 mei3 dian1 qie2
肝门系统|gan1 men2 xi4 tong3
干蜜饯|gan4 mi4 jian4
干面|gan4 mian4
擀面杖|gan3 mian4 zhang4
赶庙会|gan3 miao4 hui4
干名采誉|gan4 ming2 cai3 yu4
赶明儿|gan3 ming2 er2
干名犯义|gan4 ming2 fan4 yi4
甘南|gan1 nan2
甘南县|gan1 nan2 xian4
甘南镇|gan1 nan2 zhen4
肝脑涂地|gan1 nao3 tu2 di4
感念|gan3 nian4
干娘|gan4 niang2
敢宁|gan3 ning2
肝宁|gan1 ning2
肝宁胶囊|gan1 ning2 jiao1 nang2
肝宁片|gan1 ning2 pian4
敢怒敢言|gan3 nu4 gan3 yan2
甘诺斯|gan1 nuo4 si1
敢诺新|gan3 nuo4 xin1
赶跑|gan3 pao3
感佩|gan3 pei4
干啤|gan4 pi2
肝脾康|gan1 pi2 kang1
干皮美|gan4 pi2 mei3
甘贫乐道|gan1 pin2 le4 dao4
甘贫守分|gan1 pin2 shou3 fen1
甘珀酸|gan1 po4 suan1
甘珀酸钠|gan1 po4 suan1 na4
肝普乐|gan1 pu3 le4
干漆|gan4 qi1
感器|gan3 qi4
肝气|gan1 qi4
甘芪和胃|gan1 qi2 he2 wei4
肝憩室|gan1 qi4 shi4
甘羟铝|gan1 qiang3 lv3
甘羟铝片|gan1 qiang3 lv3 pian4
赶巧|gan3 qiao3
干亲|gan4 qin1
感情|gan3 qing2
敢情|gan3 qing2
绀青|gan4 qing1
干卿底事|gan4 qing1 di3 shi4
甘青青兰|gan1 qing1 qing1 lan2
甘青瑞香|gan1 qing1 rui4 xiang1
感清糖浆|gan3 qing1 tang2 jiang1
感情投资|gan3 qing2 tou2 zi1
感情用事|gan3 qing2 yong4 shi4
干渠|gan4 qu2
甘泉|gan1 quan2
甘泉必竭|gan1 quan2 bi4 jie2
甘泉县|gan1 quan2 xian4
干群|gan4 qun2
干群关系|gan4 qun2 guan1 xi4
感染|gan3 ran3
感染科|gan3 ran3 ke1
感染力|gan3 ran3 li4
感染率|gan3 ran3 lv4
感染伤口|gan3 ran3 shang1 kou3
感染撕咬|gan3 ran3 si1 yao3
感染源|gan3 ran3 yuan2
感染之刺|gan3 ran3 zhi1 ci4
感染之伤|gan3 ran3 zhi1 shang1
干扰|gan4 rao3
干扰理论|gan4 rao3 li3 lun4
干扰灵|gan4 rao3 ling2
干扰素|gan4 rao3 su4
干扰素型|gan4 rao3 su4 xing2
干扰信号|gan4 rao3 xin4 hao4
赶热闹|gan3 re4 nao4
感热性|gan3 re4 xing4
干热植物|gan4 re4 zhi2 wu4
感人|gan3 ren2
感人肺腑|gan3 ren2 fei4 fu3
感人肺肝|gan3 ren2 fei4 gan1
赶任务|gan3 ren4 wu4
